,idx,n_planned,n_actual,runtime,total_comparisons,accuracy,
0,1,100,10000,23,12363,0.9904,
0,2,100,20000,20,30440,0.9903,
0,3,100,30000,25,36361,0.9929,
0,4,100,40000,31,41513,0.9904,
0,5,100,100000,76,102169,0.99118,
0,6,1000,10000,26,32268,0.991,
0,7,1000,20000,44,48329,0.99315,
0,8,1000,30000,62,78773,0.993066666666667,
0,9,1000,40000,81,81848,0.99205,
0,10,1000,100000,195,223086,0.99201,
,,,,,,,
,,,,,,,
idx,std_euclid_payment,avg_semantic_payment,std_semantic_payment,semantic_euclid_payment_corr,total_remainder_fee,avg_remainder_fee,n_withdrawls
1,163.020,870.315,29.616,-0.188,3716.757,232.297,16
2,164.833,863.866,29.733,-0.239,670.703,21.636,31
3,163.708,870.953,30.447,-0.207,424.826,9.235,46
4,161.133,874.787,31.577,-0.204,193.634,3.174,61
5,162.670,872.182,31.576,-0.217,3076.856,20.110,153
6,161.641,870.053,29.938,-0.212,3298.359,206.147,16
7,160.274,872.284,30.321,-0.211,1993.713,64.313,31
8,161.691,869.920,29.728,-0.210,4772.835,101.550,47
9,161.727,872.243,29.361,-0.198,518.822,8.505,61
10,161.516,870.671,29.590,-0.204,690.646,4.514,153
